SK_ID_CURR,TARGET
100001,1
100005,0
100013,1
100028,1
100038,0
100042,0
100057,1
100065,0
100066,1
100067,1
100074,0
100090,1
100091,1
100092,1
100106,1
100107,1
100109,1
100117,0
100128,1
100141,1
100150,0
100168,1
100169,0
100170,1
100171,0
100172,0
100184,1
100187,1
100212,0
100222,1
100223,1
100232,1
100241,1
100245,1
100253,1
100256,1
100271,0
100278,1
100280,1
100306,1
100311,1
100312,0
100330,1
100331,1
100352,1
100358,0
100367,0
100382,1
100384,1
100385,1
100386,1
100399,0
100404,1
100416,0
100422,0
100426,1
100438,1
100444,1
100445,0
100446,1
100447,1
100450,1
100466,0
100483,1
100484,0
100494,1
100510,1
100512,1
100517,1
100548,1
100551,1
100552,0
100553,0
100561,1
100568,1
100569,1
100591,0
100592,0
100602,1
100607,0
100613,0
100617,0
100618,1
100622,1
100625,1
100677,0
100699,0
100702,1
100711,1
100729,0
100740,1
100744,0
100745,1
100747,1
100751,1
100752,0
100753,1
100754,0
100760,0
100762,1
100763,0
100765,1
100770,1
100772,0
100777,1
100791,1
100792,0
100797,0
100823,1
100826,1
100830,1
100836,1
100872,0
100910,1
100913,1
100918,1
100931,1
100952,1
100953,0
100965,1
100970,1
100982,1
100983,1
100984,1
100987,1
100997,1
100998,0
101002,0
101005,0
101008,1
101020,0
101021,1
101024,0
101025,0
101026,1
101031,0
101041,0
101051,1
101055,1
101056,1
101057,1
101064,1
101079,1
101087,1
101090,1
101092,1
101097,1
101099,0
101107,0
101118,0
101125,1
101126,1
101128,1
101136,1
101140,1
101149,1
101160,1
101169,0
101181,1
101186,1
101190,1
101193,1
101194,1
101198,0
101200,1
101204,0
101211,1
101213,1
101223,1
101225,1
101237,1
101243,1
101244,1
101258,1
101259,1
101268,0
101269,0
101271,1
101279,1
101281,1
101287,1
101292,1
101294,1
101296,1
101297,0
101299,1
101301,1
101305,1
101308,0
101318,1
101327,1
101329,1
101332,1
101337,0
101343,1
101345,1
101346,0
101353,0
101354,1
101355,1
101356,0
101362,1
101363,0
101365,1
101366,1
101367,0
101368,1
101374,1
101380,1
101383,0
101398,1
101399,1
101401,0
101412,1
101426,1
101427,1
101428,0
101429,1
101434,1
101440,0
101448,1
101449,1
101465,1
101467,0
101472,0
101478,1
101497,1
101504,1
101547,1
101548,1
101555,1
101570,0
101572,1
101578,0
101580,1
101588,1
101602,1
101610,1
101614,0
101616,1
101643,1
101644,0
101649,0
101650,1
101665,0
101667,1
101669,1
101674,1
101675,1
101678,1
101682,1
101686,1
101697,0
101700,1
101711,1
101714,1
101715,1
101728,1
101732,1
101757,1
101758,1
101759,1
101762,1
101764,1
101780,1
101784,1
101789,0
101816,1
101819,0
101827,1
101863,0
101867,1
101870,1
101873,1
101878,0
101879,0
101880,0
101887,1
101897,1
101901,0
101903,1
101920,0
101921,0
101922,0
101961,1
101962,1
101971,0
101976,0
102002,1
102005,0
102007,1
102017,0
102019,0
102029,0
102051,1
102052,1
102054,1
102062,0
102067,1
102068,0
102070,1
102090,1
102092,1
102099,1
102100,1
102112,1
102113,1
102122,1
102123,1
102125,1
102126,1
102146,0
102147,1
102151,1
102158,1
102159,1
102162,1
102165,1
102166,1
102174,0
102193,0
102198,0
102205,1
102206,0
102218,0
102221,0
102230,1
102238,1
102248,1
102252,1
102259,1
102262,1
102273,1
102286,1
102293,0
102294,1
102296,1
102298,0
102303,1
102309,0
102315,1
102340,0
102342,1
102344,1
102346,0
102347,1
102374,0
102380,0
102387,0
102393,1
102403,0
102413,0
102414,0
102415,0
102416,1
102439,0
102441,1
102443,1
102444,1
102445,1
102448,1
102449,1
102450,1
102456,1
102458,1
102459,1
102465,1
102470,1
102471,1
102475,0
102476,1
102506,1
102509,1
102519,1
102522,1
102545,0
102549,1
102562,1
102563,1
102568,0
102582,1
102592,1
102597,1
102605,0
102614,0
102617,1
102634,1
102652,1
102655,1
102671,1
102694,1
102701,1
102703,0
102704,0
102713,1
102720,1
102731,0
102733,1
102749,0
102755,1
102763,1
102770,1
102772,1
102799,1
102838,1
102854,1
102862,1
102863,0
102867,0
102868,0
102878,1
102887,1
102898,1
102904,0
102912,0
102919,1
102927,1
102932,0
102933,1
102935,1
102958,1
102969,0
102971,0
102975,1
102979,1
102982,1
102987,1
102989,1
102995,0
102996,0
103000,0
103001,0
103004,1
103010,0
103025,1
103029,0
103046,1
103056,0
103062,1
103078,1
103083,1
103092,1
103096,1
103097,1
103102,1
103112,0
103132,1
103144,1
103145,1
103146,1
103147,1
103158,0
103171,1
103173,0
103184,1
103195,1
103196,1
103206,0
103230,1
103231,1
103232,0
103239,1
103240,1
103243,1
103252,1
103258,1
103259,1
103279,1
103280,0
103286,1
103287,1
103290,1
103298,0
103315,0
103319,1
103334,0
103336,1
103345,1
103368,1
103371,1
103377,1
103398,1
103404,1
103408,1
103410,1
103418,1
103420,1
103432,1
103433,0
103436,1
103440,1
103453,1
103459,1
103460,1
103461,1
103462,1
103473,1
103474,1
103475,1
103478,0
103480,1
103484,1
103494,1
103513,1
103515,0
103516,1
103525,1
103541,1
